country,city,cityLabel,population,mayor,mayorLabel,genderLabel,birth,age,start_date,duration,birth_country,birth_countryLabel,birth_city,birth_cityLabel,city_lon,city_lat,birth_city_lon,birth_city_lat,distance
Germany,http://www.wikidata.org/entity/Q14805,Kaufbeuren,43893.0,http://www.wikidata.org/entity/Q103167,Stefan Bosse,male,1964-12-24,56.0,2004-11-01,16,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q14805,Kaufbeuren,10.6225,47.88,10.6225,47.88,0.0
Germany,http://www.wikidata.org/entity/Q2910,Ludwigshafen,172253.0,http://www.wikidata.org/entity/Q103764,Jutta Steinruck,female,1962-09-01,58.0,2018-01-01,2,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q2910,Ludwigshafen,8.435277777,49.481111111,8.435277777,49.481111111,0.0
Germany,http://www.wikidata.org/entity/Q1729,Erfurt,213699.0,http://www.wikidata.org/entity/Q97784,Andreas Bausewein,male,1973-05-05,47.0,2006-01-01,14,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1729,Erfurt,11.029166666,50.978055555,11.029166666,50.978055555,0.0
Germany,http://www.wikidata.org/entity/Q1794,Frankfurt am Main,753056.0,http://www.wikidata.org/entity/Q96506,Peter Feldmann,male,1958-10-07,62.0,2012-07-01,8,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q486562,Helmstedt,8.679722222,50.113611111,11.010555555,52.228055555,286166.1280376011
Germany,http://www.wikidata.org/entity/Q14859,Ansbach,41847.0,http://www.wikidata.org/entity/Q1035641,Carda Seidel,female,1964-01-01,56.0,2008-05-01,12,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q2090,Nuremberg,10.583333333,49.3,11.077777777,49.452777777,39723.31645509238
Germany,http://www.wikidata.org/entity/Q3069,Bottrop,117383.0,http://www.wikidata.org/entity/Q824313,Bernd Tischler,male,1959-06-01,61.0,2009-01-01,11,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q4094,Hilden,6.925269444,51.52325,6.939444444,51.171388888,39158.73504384357
Germany,http://www.wikidata.org/entity/Q4019,Sindelfingen,64858.0,http://www.wikidata.org/entity/Q824356,Bernd Vöhringer,male,1968-10-24,52.0,2001-01-01,19,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q4019,Sindelfingen,9.002777777,48.713333333,9.002777777,48.713333333,0.0
Germany,http://www.wikidata.org/entity/Q14819,Freiberg,40885.0,http://www.wikidata.org/entity/Q823224,Bernd-Erwin Schramm,male,1948-08-16,72.0,2008-08-01,12,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q588905,Finsterwalde,13.342777777,50.911944444,13.716666666,51.633055555,84362.17226334671
Germany,http://www.wikidata.org/entity/Q4140,Waiblingen,55449.0,http://www.wikidata.org/entity/Q498003,Andreas Hesky,male,1964-02-05,56.0,2006-01-01,14,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q3786,Esslingen am Neckar,9.316944444,48.830277777,9.310833333,48.740555555,9987.712688187015
Germany,http://www.wikidata.org/entity/Q1022,Stuttgart,634830.0,http://www.wikidata.org/entity/Q78408,Fritz Kuhn,male,1955-06-29,65.0,2013-01-07,7,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q61942,Bad Mergentheim,9.1775,48.776111111,9.766666666,49.5,91264.59571885718
Germany,http://www.wikidata.org/entity/Q6832,Ravensburg,50623.0,http://www.wikidata.org/entity/Q1162260,Daniel Rapp,male,1972-05-22,48.0,2010-06-01,10,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q3126,Erlangen,9.611388888,47.783055555,11.004444444,49.596388888,226223.93950901553
Germany,http://www.wikidata.org/entity/Q2079,Leipzig,593197.0,http://www.wikidata.org/entity/Q106747,Burkhard Jung,male,1958-03-07,62.0,2006-03-29,14,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q3167,Siegen,12.383333333,51.333333333,8.016666666,50.875555555,310003.61236654647
Germany,http://www.wikidata.org/entity/Q586,Bonn,327258.0,http://www.wikidata.org/entity/Q990401,Katja Dörner,female,1976-02-18,44.0,2020-11-01,0,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q3167,Siegen,7.099722222,50.733888888,8.016666666,50.875555555,66530.19152300963
Germany,http://www.wikidata.org/entity/Q3949,Unna,58633.0,http://www.wikidata.org/entity/Q1493406,Werner Kolter,male,1949-07-13,71.0,2004-10-01,16,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q3949,Unna,7.688888888,51.534722222,7.688888888,51.534722222,0.0
